2852	1	2	10	12	26	29	6
2851	4	12	16	28	29	31	5
2850	8	9	15	21	26	29	3
2849	2	5	9	13	26	29	2
2848	6	16	20	25	26	27	6
2847	1	8	20	25	33	37	7
2846	1	12	13	29	32	36	1
2845	2	3	5	8	23	29	4
2844	13	16	19	22	25	31	2
2843	2	11	21	22	26	32	6
2842	2	14	16	18	32	37	3
2841	4	11	12	26	28	29	6
2840	3	9	13	16	22	34	6
2839	12	18	20	21	29	35	4
2838	4	16	21	23	24	27	3
2837	4	16	19	25	29	37	6
2836	1	6	12	14	36	37	3
2835	4	5	9	12	16	29	3
2834	9	20	22	23	24	29	6
2833	3	8	17	20	22	30	3
2832	1	9	10	21	24	32	1
2831	9	11	14	16	27	37	1
2830	14	20	23	25	26	35	3
2829	5	11	18	20	30	35	5
2828	9	15	17	25	27	32	3
2827	5	9	19	21	22	34	2
2826	11	14	22	26	27	33	7
2825	1	10	11	12	18	19	5
2824	5	7	10	13	24	33	7
2823	7	13	14	28	29	35	6
2822	1	4	16	26	28	37	5
